indx,tag,speaker,line,label,desc,bin_label
70,TRAIN_0_70,Alexis," Okay, okay.  Okay, okay, okay. Okay. Okay. Okay. Okay! Okay. Okay. I love you!",,,0
71,TRAIN_0_71,Roland," Oh, okay, well, it looks like you got all the channels except for Channel 19 for some reason. I don't know why.",,,0
72,TRAIN_0_72,Johnny," Well, the thing is we won't be watching a lot of television, but again, thank you, I don't want to keep you, I know you're a busy man. ",,,0
73,TRAIN_0_73,David, Whoa!,,,0
74,TRAIN_0_74,David, Hi.,,,0
75,TRAIN_0_75,Stevie, Can I help you?,,,0
76,TRAIN_0_76,David," I'm looking for an extra towel, ",,,0
77,TRAIN_0_77,Stevie, Okay...,,,0
78,TRAIN_0_78,David," And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?",,,0
79,TRAIN_1_79,Stevie," Yes, we do have a business center. ",SARCASTIC, There is no business center at the motel. ,1
80,TRAIN_1_80,Stevie,"You can find it right outside the doors to your left, right beside the hammam spa. ",SARCASTIC, There is no hammam spa at the motel.,1
81,TRAIN_1_81,Stevie, Would you like me to book you a treatment while you're at it? ,SARCASTIC, There is no spa at the motel. Stevie cannot book a treatment for David.,1
82,TRAIN_0_82,David," Thank you, no, just the towel, thanks.",,,0
83,TRAIN_0_83,Stevie, I'll get those right out.,,,0
84,TRAIN_0_84,Johnny," Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do.",,,0
85,TRAIN_0_85,Roland," Oh, sure!",,,0
86,TRAIN_0_86,Johnny, If you don't mind.,,,0
87,TRAIN_0_87,Roland," No problem there, Johnny, I don't mind helpin' out. Listen, one thing before I go here, um... Do you mind if I use your toilet?",,,0
88,TRAIN_0_88,Moira, Is it absolutely necessary? ,,,0
89,TRAIN_0_89,Roland," Uh, yeah, I would say it's absolutely necessary! Excuse me. Absolutely necessary. Yes, that train has left the station, if you know what I mean! ",,,0
90,TRAIN_0_90,David, I need that bed.,,,0
91,TRAIN_0_91,Alexis, Why?,,,0
92,TRAIN_0_92,David, Because I need it.,,,0
93,TRAIN_0_93,Alexis, Why?,,,0
94,TRAIN_0_94,David," Because if someone were to break in here in the middle of the night wanting to murder us, they would attack this bed first, so I need this bed. ",,,0
95,TRAIN_1_95,Alexis, So you're saying that you want me to get murdered first?!  In front of you? And then what would you do?  Would you just run away and leave me to bleed out... On the floor?! ,RHETORICAL, Alexis is explaining that David’s plan to have her be murdered first does not make sense.,1
96,TRAIN_0_96,David," Uh, sort of, that was the plan, yeah. ",,,0
97,TRAIN_0_97,Alexis," Okay. Well, you can have the bed when I leave. ",,,0
98,TRAIN_0_98,David," Well, where are you going?",,,0
99,TRAIN_0_99,Alexis," Stavros is flying in to get me, I told you that. ",,,0
100,TRAIN_0_100,David, What do you mean Stavros is com... What do you mean? When? When is he doing that? ,,,0
101,TRAIN_0_101,Alexis," Like, whenever stupid Mary-Kate stops hogging his plane. ",,,0
102,TRAIN_0_102,David," Well, where are we going? ",,,0
103,TRAIN_0_103,Alexis," Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point. ",,,0
104,TRAIN_1_104,David," What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?! ",RHETORICAL, David is pointing out that Alexis is being selfish.,1
105,TRAIN_0_105,Alexis," Um, David, it will be four months next month!",,,0
106,TRAIN_0_106,David, Oh my God!,,,0
107,TRAIN_0_107,Alexis," And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so... ",,,0
108,TRAIN_0_108,David," That's the stupidest thing I've ever heard. I'm telling mom. I'm telling mom and dad, have you told them?",,,0
109,TRAIN_0_109,Alexis," No! No David, I'm waiting for the right opportunity. Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that.",,,0
110,TRAIN_0_110,David," Well, I need this bed! I need it, so.",,,0
111,TRAIN_0_111,Alexis," You know what, David?! You get murdered first for once!",,,0
112,TRAIN_0_112,David," No, you get murdered first!",,,0
113,TRAIN_0_113,Alexis," David, you get murdered first!",,,0
114,TRAIN_0_114,David," No, you! You do it!",,,0
115,TRAIN_0_115,Alexis," Yes, you get murdered first! David, you get murdered first!  I actually think this place is kinda cute. ",,,0
116,TRAIN_0_116,Moira," Did you say cute?  No Alexis, Martha Stewart's Hampton home is cute. ",,,0
117,TRAIN_0_117,David, Where's that weird man?  Where? ,,,0
118,TRAIN_0_118,Johnny, He's in the bathroom.  He... he won't leave! ,,,0
119,TRAIN_0_119,David," Well, he's been in there for a very long ti... Oh my God! Oh my God! ",,,0
120,TRAIN_0_120,Roland, Jeez. Um... Boy. Remind me to get that window fixed. It will not open. ,,,0
121,TRAIN_0_121,Johnny," Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family. ",,,0
122,TRAIN_0_122,Roland," Sure, well actually, those curtains do close there so... Oh, look! You've got Channel 19! ",,,0
123,TRAIN_0_123,Johnny," Roland, could you get the fuck out?! ",,,0
124,TRAIN_0_124,T.V. announcer," This latest model is a revelation in innovation.  I am not lying folks, it's gonna last you a lifetime. You are gonna thank... ",,,0
125,TRAIN_0_125,Johnny," That was an overreaction. That was uncalled for. It's just... you know, we're a little tired, it's been a long day, there's a pharmacy worth of drugs wearing off on most of us right now, and I just think as a family, we just need a little time to chill. ",,,0
126,TRAIN_0_126,Roland," Johnny, please, you don't have to apologize, and you really don't have to hit me over the head with this sort of thing, I get it, you need your little family time and all that, I'm sure.  No problem. You know what I'll do, I'll um... I'll just get the f*ck out of here. ",,,0
127,TRAIN_0_127,David," Ugh, we have to eat in here?! ",,,0
128,TRAIN_0_128,Alexis, I think it's kinda sweet. ,,,0
129,TRAIN_0_129,Moira," Alexis, what's going on with you? ",,,0
130,TRAIN_0_130,Alexis, What do you mean? ,,,0
131,TRAIN_0_131,Moira," Seriously?!  The room was ""cute,"" this place is ""sweet.""",,,0
132,TRAIN_0_132,David," I am personally offended by this place, I don't know what you think is nice about it. ",,,0
133,TRAIN_0_133,Moira, The town is disgusting. It is gruesome.,,,0
134,TRAIN_0_134,Alexis," It is charming, it is quaint, it's like out of a storybook.",,,0
135,TRAIN_0_135,Johnny," Alexis, what the hell is the matter with you?!",,,0
136,TRAIN_0_136,Alexis," Okay... Stavros is flying in to get me, and I am going to go live with him for a little bit.",,,0
137,TRAIN_0_137,Moira," Well, that is not happening. And I am appalled that my baby girl has turned into a selfish, duplicitous whore! Oh, hello!",,,0
138,TRAIN_0_138,Twyla," Hi, I'm Twyla. I'll be your waitress today.",,,0
139,TRAIN_0_139,"Anyway, I read about you guys, and everything you've gone through, it sounds super crappy. ",,,,0
140,TRAIN_1_140,Johnny, Super crappy? ,RHETORICAL, Johnny knows it is terrible. He is making fun of Twyla’s word choice,1
141,TRAIN_0_141,Twyla," I had a second cousin in Elmdale who did telemarketing, he made a ton of money. It turns out his entire business was illegal, and he lost everything.",,,0
142,TRAIN_0_142,Johnny, Hm... not quite the same.,,,0
143,TRAIN_0_143,Twyla," Yeah, no, he went to prison, which is terrible, but... But he is learning Spanish, no mas, le duele! I think it means, ""stop, it hurts.""",,,0
144,TRAIN_0_144,Moira," Oh, wonderful anecdote. Could you give us a moment please?",,,0
145,TRAIN_0_145,Twyla,"Whenever you're ready, I'm just right over here.",,,0
146,TRAIN_0_146,Moira, I forbid you to abandon our family.,,,0
147,TRAIN_0_147,Alexis," I am a grown woman, mother.",,,0
148,TRAIN_0_148,Moira, This is an act of a spoiled child!,,,0
149,TRAIN_0_149,David, I think it's unforgivable! ,,,0
150,TRAIN_0_150,Alexis," I think that you're just super jealous, 'cause I'm getting out of here! Also, you have a big thing of dandruff on your eyebrow.",,,0
151,TRAIN_0_151,David, Don't do that!,,,0
152,TRAIN_0_152,Johnny," Kids, stop, stop!",,,0
153,TRAIN_0_153,Moira," The world is falling apart around us John, and I'm dying inside.",,,0
154,TRAIN_0_154,Johnny," Well, I'm feeling a little queasy myself. Oh, brisket!",,,0
155,TRAIN_0_155,David, Give me... some space!,,,0
156,TRAIN_0_156,Alexis, David!,,,0
157,TRAIN_0_157,Moira, John...,,,0
158,TRAIN_0_158,Moira, Oh my God!,,,0
159,TRAIN_0_159,Alexis, Umm...,,,0
160,TRAIN_1_160,Moira," These rooms did have doors, didn't they? ",RHETORICAL, Everyone knows the motel rooms had doors.,1
161,TRAIN_0_161,Johnny," Yeah, it's a hotel, they're hotel rooms!",,,0
162,TRAIN_0_162,David, It's a motel! These are motel rooms.,,,0
163,TRAIN_0_163,Alexis, What if they took our stuff?!,,,0
164,TRAIN_0_164,David, What stuff? There's no stuff to take.,,,0
165,TRAIN_0_165,Moira, I have stuff!,,,0
166,TRAIN_0_166,Johnny, Son of a bitch! ,,,0
167,TRAIN_0_167,Johnny," Yeah, I've got a problem.",,,0
168,TRAIN_0_168,Stevie, If this is about doors...,,,0
169,TRAIN_0_169,Johnny," Yeah, it's about doors, yeah, my doors are gone, my front door, somebody stole my doors! ",,,0
170,TRAIN_0_170,Stevie," Yeah, you're gonna have to talk to Roland about that. He lives just down the street, you make a left out of the motel and then another left. It's a house with a truck in the driveway.",,,0
171,TRAIN_0_171,There's a bumper sticker of a naked Helen Mirren.,,,,0
172,TRAIN_0_172,Moira," Oh my God, no! No! No! ",,,0
173,TRAIN_0_173,Alexis, What?!,,,0
174,TRAIN_0_174,Moira, Ah! My earrings! They were there. They're not there!,,,0
175,TRAIN_0_175,David, Where did they go?,,,0
176,TRAIN_0_176,Moira," I don't know! I don't know! First you threatened to abandon me, and now my precious diamonds are gone! ",,,0
177,TRAIN_0_177,Alexis," Okay, you are super dramatic right now.",,,0
178,TRAIN_0_178,Moira, Shut up and look for them! Get open!,,,0
179,TRAIN_0_179,Johnny," Roland, I see you behind the truck!",,,0
180,TRAIN_1_180,Roland," Yeah, of course you see me. I'm looking at my gravel. Gravel these days, what are you gonna do? ",RHETORICAL, Roland is stalling.,1
181,TRAIN_0_181,Johnny," Yeah, it's gravel.",,,0
182,TRAIN_0_182,Roland," Yeah, it's gravel! Hey, good news for you. I talked to a guy about that bathroom window.",,,0
183,TRAIN_0_183,Johnny, That's the least of my concerns right now! ,,,0
184,TRAIN_0_184,Roland," Oh really? Well, why don't we address your concerns?! ",,,0
185,TRAIN_0_185,Johnny, The doors! I want my doors back!,,,0
186,TRAIN_0_186,Roland, Oh!,,,0
187,TRAIN_0_187,Johnny, Before it gets dark! My son is afraid of moths.,,,0
188,TRAIN_0_188,Roland," Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing. You disrespected me in front of your family! And now they think less of me.",,,0
189,TRAIN_0_189,Johnny," I doubt that's possible. And to be honest, you were kinda breathing down our necks a little bit back at the motel.",,,0
190,TRAIN_0_190,Roland," Johnny, when I was a kid and I did a bad thing, my father took the doors off my room. And he said to me, ""Roland, privacy is earned.""",,,0
191,TRAIN_0_191,Johnny, I am having a tough time following that. What the hell does that have to do with privacy?,,,0
192,TRAIN_0_192,Roland," Nothing. I just got mad, and I took your doors.",,,0
193,TRAIN_0_193,Johnny," Look, if you took offense to anything I said back at the motel, just know it wasn't personal.",,,0
194,TRAIN_0_194,Roland," All right, apology accepted.",,,0
195,TRAIN_0_195,Johnny," Well, that was less of an apology, and more of an explanation.",,,0
196,TRAIN_0_196,Roland," Nevertheless, I accept your apology.",,,0
197,TRAIN_0_197,Johnny, Which it wasn't!,,,0
198,TRAIN_0_198,Roland, So thank you again for that apology.,,,0
199,TRAIN_0_199,Johnny," Well, there was no apology, and I can't do this anymore!",,,0
200,TRAIN_0_200,Roland," You said you're sorry in a very sweet and humble way, and that takes a big man to do that, and that's what Johnny Rose is! A big man! Ooh! ",,,0
201,TRAIN_0_201,Moira," Oh!  Hello! Hello! Hi, hello, come here, please. I don't suppose you saw any hobos or crackheads loitering around the hotel today?",,,0
202,TRAIN_0_202,Stevie," No crackheads, no...",,,0
203,TRAIN_0_203,Moira," While the rooms were exposed to the world like a Moroccan fair, someone got in here and stole my earrings. But it was just... but it was just you here today.",,,0
204,TRAIN_0_204,Stevie, It was.,,,0
205,TRAIN_0_205,Moira, It was. I'm assuming you were the only one here on the premises today? ,,,0
206,TRAIN_0_206,Stevie, I think I know where you're going with this. ,,,0
207,TRAIN_0_207,Moira," No, I'm simply confirming that you alone were here when the earrings were stolen.",,,0
208,TRAIN_0_208,Stevie, Are you asking me if I stole your earrings?,,,0
209,TRAIN_0_209,Moira," No, I would never, please! But I also would certainly never press charges if my earrings were suddenly to be returned. If they suddenly reappeared, if you gave them back I would not press charges, I would look the other way. ",,,0
210,TRAIN_1_210,Stevie," Okay, you know what? I gotta run. 'Cause I wanna hit the pawn shop before it closes. I owe my crack dealer a ton of money, so. You seem like you have this under control, though. ",SARCASTIC, Stevie did not steal the earrings. She is joking to make Moira think she is going to the pawn shop to sell the earrings.,1
211,TRAIN_0_211,David, What just happened?! ,,,0
212,TRAIN_0_212,Moira," David, I politely asked that concierge girl if she had stolen my earrings, and she turned ice cold, and now she's on her way to a pawn shop! ",,,0
213,TRAIN_0_213,David," What?! I need a towel! Hello, hi. Hi, I am sorry if my mom accused you of taking something. ",,,0
214,TRAIN_0_214,Stevie, It's fine.,,,0
215,TRAIN_0_215,David," Okay, but does this mean that when you're cleaning our rooms, you're gonna put weird stuff in our beds out of spite, or something? ",,,0
216,TRAIN_0_216,Stevie, I won't be cleaning your room.,,,0
217,TRAIN_0_217,David," Okay, can I ask you a question?",,,0
218,TRAIN_0_218,Stevie, Shoot.,,,0
219,TRAIN_0_219,David, I think you're kind of rude!,,,0
220,TRAIN_1_220,Stevie, Is that a question? ,RHETORICAL, It was not a question,1
221,TRAIN_0_221,David," I have asked you thrice now for a towel, so that I may wash this town off my body. Do you think I wanna be here?",,,0
222,TRAIN_0_222,Stevie, Do you think I wanna be here?! ,,,0
223,TRAIN_0_223,David," I don't know what you want, you've given me one word answers since I got here!",,,0
224,TRAIN_0_224,Stevie, So if I get you a towel you'll stop following me to my car?,,,0
225,TRAIN_0_225,David, Yes! Yes!,,,0
226,TRAIN_0_226,Stevie," Fine, but I'm only doing this because you called me rude, and I take that as a compliment. The man is a lunatic! ",,,0
227,TRAIN_0_227,Johnny, What the hell happened here?,,,0
228,TRAIN_0_228,Moira, We've been robbed. Right now some local is pawning my earrings for crank.,,,0
229,TRAIN_0_229,Johnny, Your diamonds?!,,,0
230,TRAIN_0_230,Moira," Yes, my diamonds, the one thing I could hide under my tongue.",,,0
231,TRAIN_0_231,Johnny," Moira, I took your earrings out of here, and I put them in my shoe. For safekeeping.",,,0
232,TRAIN_0_232,Alexis," No! No! . Stavros just texted me. And he ended it, he's not coming! He said he doesn't have time to come and get me, because he already rsvp'd to Diddy's white party, and doesn't have time to do both! But I was supposed to be his date to the white party!",,,0
233,TRAIN_0_233,Johnny," Alexis, he was never my favourite Stavros. I've hated that guy ever since he asked me to do lines with him at my sixtieth.",,,0
234,TRAIN_1_234,David," Just out of sheer curiosity, um, where do you stand now on whether or not you think this motel is cute? ",RHETORICAL, David knows Alexis does not think the motel is cute. He is rubbing the fact that her boyfriend broke up with her and she is stuck there with them in her face.,1
235,TRAIN_0_235,David," Like, is it still cute, or is it...",,,0
236,TRAIN_0_236,Alexis," You're a dick, David!",,,0
237,TRAIN_1_237,David," Oh, I'm a dick! Okay, did I dump you for a party?! ",RHETORICAL, David did not. Alexis’s boyfriend did.,1
238,TRAIN_0_238,Johnny," David, help me with the doors.",,,0
239,TRAIN_0_239,David," No I can't, I just got out of the shower.",,,0
240,TRAIN_0_240,Johnny, I need help with the doors.,,,0
241,TRAIN_0_241,David, Oh my God!,,,0
242,TRAIN_0_242,Alexis," David, help him with the doors!",,,0
243,TRAIN_0_243,David, You help him with the doors! ,,,0
244,TRAIN_0_244,Alexis, No!,,,0
245,TRAIN_0_245,Johnny," David, could you help me with the doors?!",,,0
246,TRAIN_0_246,David, It's air drying!,,,0
247,TRAIN_1_247,Moira," Pick up a hammer, and nail this coffin shut! ",SARCASTIC, Moira is saying the situation/motel is like their coffin in that they have basically died.,1
248,TRAIN_0_248,Alexis," As if I didn't see this coming. He's broken up with me five times already. Like, there was that time that he never met me in Rio, and remember that time that he gave me his ex wife's engagement ring? And then, last summer, that time that he left his Molly in my glove compartment, and then I got arrested?",,,0
249,TRAIN_0_249,David," Oh my God! Can you do me a huge favour? And never repeat this to anyone that you respect, okay? Okay? Okay.",,,0
250,TRAIN_0_250,Alexis, Okay.,,,0
251,TRAIN_0_251,Johnny," Kids, we just came in to say good night, and to remind you that we will get through this...",,,0
252,TRAIN_0_252,David," Okay, good night!",,,0
253,TRAIN_0_253,Johnny, As a family...,,,0
254,TRAIN_1_254,David, Warmest regards to you both. ,SARCASTIC," David wants Johnny to leave, so he is saying something pleasant, but he cuts Johnny off in the process.",1
255,TRAIN_0_255,Johnny, And that will end up on our feet in no time!,,,0
256,TRAIN_1_256,Moira," Of course, by then our feet will be shoeless, and filthy and mangled, from walking on cigarette butts and broken beer bottles. ",SARCASTIC," Moira is referring to the terrible state of the town, she does not mean this literally",1
257,TRAIN_0_257,Moira," So, seriously Alexis, enough about Stavros!",,,0
258,TRAIN_0_258,Alexis, I'm sorry if I am going through something right now!,,,0
259,TRAIN_0_259,David, You're going through something?!,,,0
260,TRAIN_0_260,Moira," Good night, children.",,,0
261,TRAIN_0_261,Johnny, Good night!,,,0
262,TRAIN_0_262,David, Good night.,,,0
263,TRAIN_0_263,Alexis, Good night.,,,0
264,TRAIN_1_264,Moira, Let's all pray we don't wake up. ,SARCASTIC," Moira is being dramatic, basically saying that she hopes they all die in their sleep. She is not being serious.",1
265,TRAIN_0_265,Johnny, Moira! Moira!,,,0
266,TRAIN_0_266,Moira, Hm.,,,0
267,TRAIN_0_267,Moira, Oh no! I just finally cried myself to sleep.,,,0
268,TRAIN_0_268,Johnny, The bed is soaking wet.,,,0
269,TRAIN_0_269,Moira, Is it blood?,,,0
270,TRAIN_0_270,Johnny, No! There's... there is leak in the ceiling. There is a brown disgusting drip coming.,,,0
271,TRAIN_0_271,Moira, Owwww!,,,0
272,TRAIN_0_272,Johnny, Look it! Look... oh my God.,,,0
273,TRAIN_0_273,Moira, I can't do it.,,,0
274,TRAIN_0_274,Johnny, This place is a dump! It's a dump!,,,0
275,TRAIN_0_275,Moira, I tried!,,,0
276,TRAIN_0_276,Johnny, You know what it's a hell hole.,,,0
277,TRAIN_0_277,Moira," I tired, John, but I can't!",,,0
278,TRAIN_0_278,Johnny, Wake up.,,,0
279,TRAIN_0_279,David, Ahh!,,,0
280,TRAIN_0_280,Alexis, Ahh!,,,0
281,TRAIN_0_281,Johnny," Start packing, the pluming is shot to hell in this place and we are getting out. We are getting out! ",,,0
282,TRAIN_0_282,David, What are you wearing? What is that? A nightgown? ,,,0
283,TRAIN_0_283,Johnny," It's a nightshirt, David. And that's not the issue. The issue is the brown sludge in my bed. We're selling the place!",,,0
284,TRAIN_0_284,David, It's 6:00 am! ,,,0
285,TRAIN_0_285,Johnny, What's the name of that mouthy kid at the front desk?,,,0
286,TRAIN_0_286,David," I don't know. I'm trying very hard not to connect with people right now. The mouth the mouth, the girl.",,,0
287,TRAIN_0_287,David, You might want to rethink the nightgown first. There's an ebenezer scrooge thing happening right now.,,,0
288,TRAIN_0_288,Alexis," Oh my God, that's who I was thinking of.",,,0
289,TRAIN_0_289,Johnny, You know what?! I'll do it myself.,,,0
290,TRAIN_1_290,David, My best to Bob Cratchit. ,SARCASTIC, David was referring to the nightgown giving Johnny a similarity to Bob Cratchit. He was not asking Johnny to actually give Bob Crachit his best,1
291,TRAIN_0_291,Johnny, Hello! Hello! Service? This bell is broken.,,,0
292,TRAIN_0_292,Stevie," Yeah, sorry. It's more or less decorative.",,,0
293,TRAIN_0_293,Johnny," There's a leak in my room. Brown, disgusting sewage water was dripping all over my bed this morning. I was soaking wet. So I need a plumber.",,,0
294,TRAIN_0_294,Stevie, You want me to call a plumber?,,,0
295,TRAIN_1_295,Johnny,  Do I want you to call a plumber? ,RHETORICAL, Johnny wants Stevie to call a plumber,1
296,TRAIN_0_296,Johnny," Yes, yes I do. I want you call... You should already be on the phone. Could you call a plumber?",,,0
297,TRAIN_0_297,Stevie," Let's see if he's home... or conscious. He's a good guy, he's just a big drinker.",,,0
298,TRAIN_0_298,Johnny, I also need a real estate agent. The name of a good real estate agent right away.,,,0
299,TRAIN_0_299,Stevie," Ooh, there's a guy named Ray. Yeah. He's the best one. He's also the only one so...",,,0
300,TRAIN_0_300,Johnny, A guy named Ray...,,,0
301,TRAIN_0_301,Stevie," Is there anything else I can help you with, Mr. Rose?",,,0
302,TRAIN_0_302,Johnny, Yes. My wife and I will be taking breakfast in our room this morning. Eggs florentine and a yoghurt parfait.,,,0
303,TRAIN_0_303,Stevie," Yeah... unfortunately, due to a lack of everything, we don't do room service. Uh, but you're always welcome to help yourself to our complimentary espresso bar. ",,,0
304,TRAIN_1_304,Johnny, I'd rather drink the pipe-water. ,SARCASTIC, Johnny would not rather drink the pipe water. He is saying that the coffee is likely terrible and he does not want any,1
305,TRAIN_0_305,Stevie, I hear ya.,,,0
306,TRAIN_0_306,Alexis, Ew! Who even is this girl? He said he'd never date someone with a toe ring and yet...,,,0
307,TRAIN_0_307,Moira, Rub my back.,,,0
308,TRAIN_0_308,David, What?! No.,,,0
309,TRAIN_0_309,Moira, I rubbed your back many a nights when you were little.,,,0
310,TRAIN_0_310,David," Yeah, in exchange for half my allowance.",,,0
